16.78.8.108 - - [10/Aug/2025:03:07:00 +0700] "GET /v1/api/sync/master/item_price HTTP/1.1" 200 23 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:03:08:00 +0700] "GET /v1/api/sync/transaction/invoice/redis/sfa/undone/sync HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:03:08:00 +0700] "GET /v1/api/sync/transaction/invoice/redis/pointonly HTTP/1.1" 500 68 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:03:08:00 +0700] "GET /v1/api/apps/firebaseuid/sync HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:03:08:00 +0700] "GET /v1/api/sync/transaction/revisedsodata HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:03:08:00 +0700] "GET /v1/api/sync/transaction/voidedrequest HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
103.63.96.3 - - [10/Aug/2025:03:08:52 +0700] "POST /bri/snap/v1.0/access-token/b2b HTTP/1.1" 404 1401 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:03:09:00 +0700] "GET /v1/api/sync/transaction/sodata/sendsamesmanwa HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:03:09:00 +0700] "GET /v1/api/sync/transaction/sodata/sendfcmmessage HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
16.78.8.108 - - [10/Aug/2025:03:09:00 +0700] "GET /v1/api/sync/master/customer HTTP/1.1" 200 23 "-" "Go-http-client/1.1" "-"
182.3.42.228 - - [10/Aug/2025:12:47:01 +0700] "GET /v1/api/web/customer/?&page=1&limit=10&admin_user_id=15845&search=Sederhana&branch_id=&phone_number=&show_in_app=1&by=c.id&customer_type_id=&salesman_type_id=&is_data_complete=&active=&admin_validate= HTTP/1.1" 200 1952 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
16.78.8.108 - - [10/Aug/2025:12:47:01 +0700] "GET /v1/api/sync/transaction/sodata/pull HTTP/1.1" 200 25 "-" "Go-http-client/1.1" "-"
182.3.42.228 - - [10/Aug/2025:12:47:03 +0700] "GET /v1/api/customer/target/year?&by=def.id&customer_id=107202389&year=2025 HTTP/1.1" 200 511 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:03 +0700] "GET /v1/api/customer/target/semester?&by=cus.customer_name&customer_id=107202389&semester=2&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:03 +0700] "GET /v1/api/customer/target/quarter?&by=cus.customer_name&customer_id=107202389&quarter=3&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:03 +0700] "GET /v1/api/customer/target/year?&by=cus.customer_name&customer_id=107202389&year=2025&sort=asc HTTP/1.1" 200 507 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:03 +0700] "GET /v1/api/customer_activities/select?&by=def.id&customer_id=107202389&sort=desc HTTP/1.1" 200 426 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:03 +0700] "GET /v1/api/point/balance/customer_id/107202389 HTTP/1.1" 200 44 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:03 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:04 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:04 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:26 +0700] "GET /static/js/3520.8f219641.chunk.js HTTP/1.1" 304 0 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:27 +0700] "GET /v1/api/point/?&page=1&limit=10&by=def.id&sort=desc&customer_id=107202389 HTTP/1.1" 200 1796 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:27 +0700] "GET /v1/api/web/customer/id/107202389 HTTP/1.1" 200 1387 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:49 +0700] "GET /v1/api/customer/target/semester?&by=cus.customer_name&customer_id=107202389&semester=2&year=2025 HTTP/1.1" 200 285 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
182.3.42.228 - - [10/Aug/2025:12:47:49 +0700] "GET /v1/api/customer/target/year?&by=def.id&customer_id=107202389&year=2025 HTTP/1.1" 200 511 "https://mysidomuncul.sidomuncul.co.id/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36" "-"
